n, comp,tempo
0,999999,0.0021080
5,999,0.0000100
10,999,0.0000070
15,999,0.0000060
20,999,0.0000070
25,999,0.0000060
30,999,0.0000060
35,999,0.0000060
40,999,0.0000070
45,999,0.0000060
50,999,0.0000060
55,999,0.0000060
60,999,0.0000070
65,999,0.0000060
70,999,0.0000060
75,999,0.0000060
80,999,0.0000070
85,999,0.0000060
90,999,0.0000060
95,999,0.0000060
100,999,0.0000070
105,999,0.0000060
110,999,0.0000060
115,999,0.0000060
120,999,0.0000060
125,999,0.0000060
130,999,0.0000060
135,999,0.0000070
140,999,0.0000060
145,999,0.0000060
150,999,0.0000060
155,999,0.0000060
160,999,0.0000060
165,999,0.0000060
170,999,0.0000060
175,999,0.0000070
180,999,0.0000060
185,999,0.0000060
190,999,0.0000060
195,999,0.0000060
200,999,0.0000060
205,999,0.0000060
210,999,0.0000060
215,999,0.0000060
220,999,0.0000070
225,999,0.0000060
230,999,0.0000060
235,999,0.0000060
240,999,0.0000070
245,999,0.0000060
250,999,0.0000060
255,999,0.0000060
260,999,0.0000060
265,999,0.0000060
270,999,0.0000060
275,999,0.0000060
280,999,0.0000060
285,999,0.0000060
290,999,0.0000060
295,999,0.0000060
300,999,0.0000060
305,999,0.0000060
310,999,0.0000060
315,999,0.0000060
320,999,0.0000070
325,999,0.0000060
330,999,0.0000060
335,999,0.0000060
340,999,0.0000070
345,999,0.0000060
350,999,0.0000060
355,999,0.0000060
360,999,0.0000070
365,999,0.0000060
370,999,0.0000060
375,999,0.0000060
380,999,0.0000070
385,999,0.0000060
390,999,0.0000060
395,999,0.0000060
400,999,0.0000060
405,999,0.0000060
410,999,0.0000060
415,999,0.0000060
420,999,0.0000210
425,999,0.0000070
430,999,0.0000070
435,999,0.0000060
440,999,0.0000060
445,999,0.0000080
450,999,0.0000090
455,999,0.0000060
460,999,0.0000060
465,999,0.0000060
470,999,0.0000060
475,999,0.0000060
480,999,0.0000070
485,999,0.0000060
490,999,0.0000060
495,999,0.0000060
500,999,0.0000060
505,999,0.0000060
510,999,0.0000070
515,999,0.0000060
520,999,0.0000060
525,999,0.0000060
530,999,0.0000060
535,999,0.0000060
540,999,0.0000070
545,999,0.0000070
550,999,0.0000060
555,999,0.0000060
560,999,0.0000060
565,999,0.0000190
570,999,0.0000060
575,999,0.0000060
580,999,0.0000060
585,999,0.0000060
590,999,0.0000060
595,999,0.0000060
600,999,0.0000060
605,999,0.0000060
610,999,0.0000060
615,999,0.0000060
620,999,0.0000060
625,999,0.0000060
630,999,0.0000060
635,999,0.0000060
640,999,0.0000070
645,999,0.0000060
650,999,0.0000060
655,999,0.0000060
660,999,0.0000060
665,999,0.0000060
670,999,0.0000060
675,999,0.0000060
680,999,0.0000060
685,999,0.0000060
690,999,0.0000060
695,999,0.0000060
700,999,0.0000060
705,999,0.0000060
710,999,0.0000060
715,999,0.0000060
720,999,0.0000060
725,999,0.0000070
730,999,0.0000060
735,999,0.0000060
740,999,0.0000060
745,999,0.0000060
750,999,0.0000060
755,999,0.0000060
760,999,0.0000060
765,999,0.0000060
770,999,0.0000060
775,999,0.0000060
780,999,0.0000070
785,999,0.0000060
790,999,0.0000060
795,999,0.0000060
800,999,0.0000060
805,999,0.0000060
810,999,0.0000070
815,999,0.0000060
820,999,0.0000060
825,999,0.0000060
830,999,0.0000060
835,999,0.0000060
840,999,0.0000070
845,999,0.0000060
850,999,0.0000060
855,999,0.0000060
860,999,0.0000060
865,999,0.0000060
870,999,0.0000070
875,999,0.0000060
880,999,0.0000060
885,999,0.0000060
890,999,0.0000060
895,999,0.0000060
900,999,0.0000060
905,999,0.0000060
910,999,0.0000060
915,999,0.0000060
920,999,0.0000060
925,999,0.0000060
930,999,0.0000060
935,999,0.0000060
940,999,0.0000060
945,999,0.0000060
950,999,0.0000060
955,999,0.0000070
960,999,0.0000060
965,999,0.0000060
970,999,0.0000060
975,999,0.0000060
980,999,0.0000070
985,999,0.0000080
990,999,0.0000090
995,999,0.0000090
